,age,are_you_datascientist,company_size,country_live,employment_status,first_learn_about_main_ide,how_often_use_main_ide,ide_main,is_python_main,job_team,main_purposes,missing_features_main_ide,nps_main_ide,python_years,python3_version_most,several_projects,team_size,use_python_most,years_of_coding,python3_ver
37019,60,False,2,Germany,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Other,Daily,IDLE,"No, I use Python as a secondary language",Work in a team,"For personal, educational  or side projects","No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,11.0,3.8
37020,40,False,1001,United States,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Embedded development,11.0,3.8
37022,30,False,501,Switzerland,Fully employed by a company / organization,Friend / Colleague,Daily,Emacs,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Desktop development,3.0,3.8
37026,30,True,5000,Switzerland,Fully employed by a company / organization,Friend / Colleague,Daily,Atom,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,Data analysis,11.0,3.8
37031,40,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,DevOps / System administration / Writing automation scripts,11.0,3.8
37035,18,False,11,United States,Partially employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",3,Web development,1.0,3.8
37039,30,False,5000,Norway,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on many different projects",5,DevOps / System administration / Writing automation scripts,3.0,3.8
37041,30,True,2,Peru,"Self-employed (a person earning income directly from one's own business, trade, or profession)",I don't remember,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,6.0,3.8
37044,30,False,5000,Poland,Fully employed by a company / organization,I don't remember,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,11.0,Python 3_8,"No,  I only work on one project",2,Web development,1.0,3.8
37048,40,False,5000,Ireland,Fully employed by a company / organization,Other,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",7.0,1.0,Python 3_6,"No,  I only work on one project",2,Unknown,11.0,3.6
37050,21,False,51,Mexico,Fully employed by a company / organization,School / University,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Web development,1.0,3.8
37059,21,False,5000,Germany,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Data analysis,1.0,3.8
37069,21,True,51,Netherlands,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",4,Software prototyping,3.0,3.7
37073,30,False,11,Italy,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_8,"No,  I only work on one project",8,Software prototyping,6.0,3.8
37084,40,False,51,Germany,"Self-employed (a person earning income directly from one's own business, trade, or profession)",I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_7,"No,  I only work on one project",2,Unknown,11.0,3.7
37090,18,False,5000,United States,Working student,School / University,Daily,Atom,"No, I use Python as a secondary language",Work in a team,"For personal, educational  or side projects",Yes – Please list:,8.0,1.0,Python 3_6,"Yes, I work on many different projects",2,Unknown,3.0,3.6
37107,40,False,1001,Australia,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",4,Data analysis,6.0,3.7
37110,50,False,1,Spain,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Search engines,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",1,Web development,3.0,3.7
37119,30,False,1001,France,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on many different projects",4,Educational purposes,3.0,3.8
37132,30,False,2,Turkey,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",8.0,6.0,Python 3_6,"Yes, I work on many different projects",2,Web development,6.0,3.6
37150,21,False,5000,China,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,1.0,Python 3_6,"Yes, I work on many different projects",8,Software testing / Writing automated tests,1.0,3.6
37155,40,False,1001,Canada,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,11.0,Python 3_8,"No,  I only work on one project",2,Web development,11.0,3.8
37158,30,False,2,Saudi Arabia,Partially employed by a company / organization, Online learning platform / Online course,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",6.0,6.0,Python 3_6,"Yes, I work on one main and several side projects",8,Web development,3.0,3.6
37163,21,False,51,Spain,Fully employed by a company / organization,I don't remember,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Other,6.0,3.8
37173,30,False,5000,India,Fully employed by a company / organization,Friend / Colleague,Weekly,Sublime Text,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on many different projects",6,Educational purposes,6.0,3.8
37174,30,False,51,Spain,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,8.0,11.0,Python 3_7,"Yes, I work on many different projects",2,Web development,11.0,3.7
37175,30,False,2,Canada,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Friend / Colleague,Weekly,PyCharm Professional Edition,"No, I use Python as a secondary language",Work as an external consultant or trainer,For work,"No, it has all the features I need",8.0,6.0,Python 3_9,"Yes, I work on many different projects",1,Software prototyping,11.0,3.9
37185,21,True,2,India,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Friend / Colleague,Weekly,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",6.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Machine learning,3.0,3.8
37190,50,False,51,Dominican Republic,Fully employed by a company / organization,Other,Weekly,VS Code,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,6.0,3.8
37196,30,True,1001,China,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",9.0,6.0,Python 3_6,"Yes, I work on one main and several side projects",8,Machine learning,1.0,3.6
37207,21,True,51,Norway,Fully employed by a company / organization,Friend / Colleague,Daily,Jupyter Notebook,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Data analysis,3.0,3.8
37210,21,False,2,China,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,1.0,3.7
37218,30,True,5000,Egypt,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,8.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",5,Data analysis,1.0,3.8
37220,21,False,11,Viet Nam,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,1.0,3.7
37229,30,True,5000,Brazil,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Data analysis,3.0,3.7
37238,21,False,501,Ireland,Fully employed by a company / organization,Other,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",7.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",8,Machine learning,3.0,3.8
37243,21,False,5000,India,Fully employed by a company / organization,School / University,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",6,Educational purposes,3.0,3.8
37244,21,False,2,Turkey,Working student,Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,6.0,3.8
37248,21,True,1001,Singapore,Fully employed by a company / organization,School / University,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_7,"Yes, I work on many different projects",4,Machine learning,1.0,3.7
37258,18,False,11,United Kingdom,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",3,Programming of web parsers / scrapers / crawlers,1.0,3.7
37260,40,False,11,Germany,Working student,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,For work,Yes – Please list:,2.0,11.0,Python 3_6,"Yes, I work on many different projects",3,Machine learning,11.0,3.6
37269,40,False,5000,Brazil,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Community Edition,Yes,Work in a team,For work,Yes – Please list:,7.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Data analysis,11.0,3.7
37273,18,True,2,Poland,Working student, Online learning platform / Online course,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on many different projects",1,Machine learning,1.0,3.7
37274,21,False,1001,China,Fully employed by a company / organization,School / University,Weekly,PyCharm Professional Edition,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,3.0,Python 3_6,"No,  I only work on one project",8,Data analysis,3.0,3.6
37281,30,False,501,Australia,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,5.0,3.0,Python 3_8,"No,  I only work on one project",3,Web development,3.0,3.8
37282,21,True,5000,Czech Republic,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",8,Software prototyping,3.0,3.7
37288,30,True,51,United States,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Software prototyping,11.0,3.8
37306,30,True,5000,Brazil,Fully employed by a company / organization,Conference / User Group,Daily,VS Code,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on many different projects",13,Web development,11.0,3.8
37307,30,False,1001,Japan,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work in a team,"For personal, educational  or side projects","No, it has all the features I need",7.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Machine learning,3.0,3.7
37311,40,False,2,Brazil,Partially employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"No,  I only work on one project",2,Web development,1.0,3.8
37338,40,False,1001,United States,Fully employed by a company / organization,Friend / Colleague,Daily,IntelliJ IDEA,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",5.0,6.0,Python 3_8,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,6.0,3.8
37339,30,False,11,Germany,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",6.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",3,DevOps / System administration / Writing automation scripts,1.0,3.8
37340,21,False,51,United States,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_8,"Yes, I work on many different projects",3,Desktop development,6.0,3.8
37342,21,False,5000,United States,Working student,I don't remember,Weekly,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",7.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",6,Desktop development,1.0,3.6
37358,30,False,1001,India,Fully employed by a company / organization,Search engines,Daily,Atom,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_5 or lower,"Yes, I work on one main and several side projects",2,Web development,6.0,3.5
37366,50,True,5000,Germany,Fully employed by a company / organization,I don't remember,Daily,Sublime Text,Yes,Work in a team,Both for work and personal,Yes – Please list:,5.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Data analysis,11.0,3.8
37382,30,False,5000,China,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",6.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",8,Data analysis,6.0,3.6
37383,21,False,51,Other country,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",21,Web development,3.0,3.7
37384,21,False,501,Pakistan,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
37397,21,False,1001,China,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",8,Software testing / Writing automated tests,3.0,3.7
37398,21,False,501,China,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,1.0,Python 3_8,"No,  I only work on one project",6,Software testing / Writing automated tests,1.0,3.8
37405,21,False,11,India,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,1.0,3.7
37420,30,False,5000,Sweden,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
37434,30,True,1001,Taiwan,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"No,  I only work on one project",2,Data analysis,1.0,3.8
37441,18,True,2,India,"Self-employed (a person earning income directly from one's own business, trade, or profession)", Online learning platform / Online course,Daily,IDLE,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_8,"No,  I only work on one project",1,Educational purposes,1.0,3.8
37456,40,False,51,Germany,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",4,Data analysis,11.0,3.7
37470,40,False,1001,Taiwan,Fully employed by a company / organization,Social network,Daily,Sublime Text,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",5.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",13,DevOps / System administration / Writing automation scripts,11.0,3.6
37472,30,False,1001,Thailand,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_7,"Yes, I work on many different projects",8,Software prototyping,11.0,3.7
37476,50,False,5000,Netherlands,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on many different projects",8,Other,11.0,3.8
37485,21,False,11,India,Fully employed by a company / organization,Social network,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",8,Web development,1.0,3.8
37487,30,False,11,South Korea,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Emacs,Yes,Work in a team,For work,"No, it has all the features I need",10.0,11.0,Python 3_7,"No,  I only work on one project",2,Web development,11.0,3.7
37496,21,False,51,India,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",8.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",2,Web development,3.0,3.6
37500,21,False,51,Serbia,Fully employed by a company / organization,I don't remember,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,3.0,3.7
37512,21,False,2,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Emacs,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,3.0,6.0,Python 3_8,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,11.0,3.8
37515,30,Other,5000,India,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",2,Data analysis,3.0,3.6
37516,30,False,51,Germany,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",9.0,6.0,Python 3_5 or lower,"Yes, I work on many different projects",2,Web development,6.0,3.5
37523,30,False,2,Finland,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",1,Web development,1.0,3.8
37546,21,False,5000,China,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work as an external consultant or trainer,Both for work and personal,Yes – Please list:,6.0,1.0,Python 3_8,"No,  I only work on one project",8,Educational purposes,1.0,3.8
37549,21,False,11,Armenia,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
37551,21,True,51,India,Fully employed by a company / organization,Advertising,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on many different projects",5,Web development,3.0,3.8
37560,21,False,51,Russian Federation,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Network programming,3.0,3.8
37567,30,True,1001,United States,Fully employed by a company / organization,Social network,Daily,Atom,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",7.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Data analysis,3.0,3.7
37568,30,Other,501,Iran,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_6,"Yes, I work on many different projects",8,Web development,3.0,3.6
37574,21,True,501,India,Partially employed by a company / organization, Online learning platform / Online course,Daily,IDLE,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",7.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",5,Programming of web parsers / scrapers / crawlers,3.0,3.8
37575,21,False,11,Pakistan,Fully employed by a company / organization,School / University,Daily,IntelliJ IDEA,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",6.0,1.0,Python 3_6,"No,  I only work on one project",2,Web development,1.0,3.6
37578,40,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,7.0,6.0,Python 3_8,"Yes, I work on many different projects",13,Machine learning,11.0,3.8
37582,21,Other,5000,Other country,Fully employed by a company / organization,Other,Weekly,Jupyter Notebook,"No, I use Python as a secondary language",Work in a team,"For personal, educational  or side projects",Yes – Please list:,9.0,3.0,Python 3_6,"Yes, I work on many different projects",2,Data analysis,1.0,3.6
37588,30,False,51,Russian Federation,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,6.0,Python 3_6,"Yes, I work on many different projects",4,Data analysis,1.0,3.6
37589,21,False,5000,China,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",6.0,1.0,Python 3_8,"No,  I only work on one project",8,Unknown,1.0,3.8
37591,30,False,1001,Saudi Arabia,Fully employed by a company / organization, Online learning platform / Online course,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on many different projects",2,Unknown,11.0,3.7
37592,21,False,2,India,Fully employed by a company / organization,Social network,Daily,Atom,Yes,Work in a team,For work,"No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",2,Network programming,3.0,3.8
37596,21,True,5000,Switzerland,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",4,Data analysis,6.0,3.8
37598,30,False,51,United Kingdom,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",2,Software testing / Writing automated tests,3.0,3.7
37607,21,True,5000,India,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Machine learning,3.0,3.7
37610,30,True,51,Denmark,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,For work,"No, it has all the features I need",9.0,3.0,Python 3_6,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,6.0,3.6
37626,30,False,51,Other country,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",7.0,6.0,Python 3_7,"Yes, I work on many different projects",6,Web development,3.0,3.7
37630,30,True,2,Switzerland,"Self-employed (a person earning income directly from one's own business, trade, or profession)",I don't remember,Daily,VS Code,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Web development,6.0,3.8
37632,50,False,51,Greece,Fully employed by a company / organization,I don't remember,Daily,VS Code,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_9,"Yes, I work on one main and several side projects",8,Embedded development,11.0,3.9
37636,21,False,51,Israel,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work in a team,Both for work and personal,Yes – Please list:,7.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Other,3.0,3.8
37641,40,True,11,Switzerland,Fully employed by a company / organization,Friend / Colleague,Daily,IntelliJ IDEA,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,11.0,Python 3_8,"Yes, I work on many different projects",3,Data analysis,11.0,3.8
37646,30,False,2,Lithuania,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",7.0,3.0,Python 3_7,"No,  I only work on one project",2,Web development,3.0,3.7
37650,30,False,51,United States,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",4,DevOps / System administration / Writing automation scripts,3.0,3.8
37653,30,False,51,Lithuania,Fully employed by a company / organization,Advertising,Daily,Atom,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",8,DevOps / System administration / Writing automation scripts,3.0,3.8
37654,21,False,501,Switzerland,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Desktop development,3.0,3.8
37658,40,False,1001,Germany,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,7.0,6.0,Python 3_6,"Yes, I work on one main and several side projects",2,Machine learning,3.0,3.6
37666,21,False,5000,Germany,Fully employed by a company / organization,School / University,Daily,IntelliJ IDEA,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",4,Network programming,3.0,3.7
37680,30,True,2,United States,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Technical review / Forum / Blog,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,9.0,3.0,Python 3_8,"No,  I only work on one project",1,Data analysis,1.0,3.8
37686,21,True,51,Belarus,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Machine learning,3.0,3.7
37688,30,False,51,India,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",5,Programming of web parsers / scrapers / crawlers,3.0,3.8
37691,21,False,51,Ukraine,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"No,  I only work on one project",8,Data analysis,1.0,3.7
37694,21,False,2,Switzerland,Fully employed by a company / organization,I don't remember,Weekly,PyCharm Community Edition,"No, I use Python as a secondary language",Work in a team,For work,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,3.0,3.8
37697,21,False,11,Germany,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_9,"Yes, I work on many different projects",2,Unknown,1.0,3.9
